ticker,current price,change %,volatility,sharpe ratio,trend,min price,max price
BTC,$66000.97,133308261.95%,131.92%,1.15,Uptrend,$0.05,$125173.00
XMR,$324.80,104436.53%,222.53%,1.12,Downtrend,$0.10,$721.88
ETH,$1984.91,66063.80%,105.88%,1.12,Uptrend,$0.42,$4851.54
BNB,$610.52,60347.32%,103.01%,1.23,Uptrend,$0.69,$1311.31
DOGE,$0.09,30509.52%,159.83%,0.98,Uptrend,$0.00,$0.68
DCR,$19.10,15924.47%,362.47%,0.69,Downtrend,$0.01,$238.02
TRX,$0.31,12070.12%,126.88%,1.01,Uptrend,$0.00,$0.37
SOL,$82.72,8611.40%,122.10%,1.23,Uptrend,$0.52,$258.63
XRP,$1.32,8596.26%,165.84%,0.94,Uptrend,$0.00,$3.60
XLM,$0.17,7330.79%,132.82%,0.95,Uptrend,$0.00,$0.88
XDC,$0.03,4909.89%,117.88%,1.14,Downtrend,$0.00,$0.18
DASH,$31.44,4737.49%,303.75%,0.97,Downtrend,$0.65,$1433.41
POL,$0.18,4024.97%,136.74%,1.08,Downtrend,$0.00,$2.86
LINK,$8.53,3399.15%,121.30%,0.94,Uptrend,$0.15,$50.30
QNT,$71.32,3180.39%,124.56%,0.99,Uptrend,$1.48,$384.23
OKB,$81.43,2404.63%,109.90%,0.87,Uptrend,$0.58,$226.20
LTC,$53.53,1684.46%,123.85%,0.75,Uptrend,$1.12,$372.25
KCS,$7.83,1441.82%,110.23%,0.81,Uptrend,$0.35,$27.28
STX,$0.22,1255.62%,18997.85%,0.83,Downtrend,$0.00,$3.65
AXS,$1.11,659.07%,141.36%,0.93,Downtrend,$0.13,$160.49
RUNE,$0.39,483.76%,137.25%,0.91,Uptrend,$0.04,$20.34
CHZ,$0.04,430.71%,129.05%,0.81,Uptrend,$0.00,$0.77
ETC,$8.07,404.27%,115.57%,0.70,Downtrend,$0.74,$146.79
LEO,$8.96,384.92%,56.44%,0.70,Uptrend,$0.81,$10.06
NEXO,$0.87,341.15%,100.36%,0.70,Uptrend,$0.05,$4.01
CAKE,$1.36,214.79%,123.53%,0.78,Uptrend,$0.22,$42.71
MANA,$0.08,199.87%,123.90%,0.71,Downtrend,$0.03,$5.35
HNT,$1.16,153.08%,3894.57%,0.43,Downtrend,$0.02,$52.70
XAUt,$4491.45,149.58%,22.92%,1.18,Downtrend,$1630.70,$5433.82
PAXG,$4499.46,118.70%,18.74%,1.16,Downtrend,$1609.00,$5451.95
YFI,$2474.53,105.80%,124.18%,0.69,Downtrend,$1202.40,$82876.00
AAVE,$98.10,92.05%,110.71%,0.66,Downtrend,$27.72,$630.07
SUN,$0.02,87.44%,90.64%,0.60,Uptrend,$0.00,$0.04
HBAR,$0.09,72.21%,123.08%,0.63,Downtrend,$0.01,$0.52
AVAX,$8.77,67.01%,117.80%,0.65,Uptrend,$2.90,$134.96
JST,$0.06,48.39%,66.28%,0.48,Uptrend,$0.02,$0.06
INJ,$2.88,42.58%,113.68%,0.65,Downtrend,$1.17,$51.11
SAND,$0.07,36.91%,138.88%,0.68,Downtrend,$0.03,$7.71
FET,$0.23,34.45%,123.62%,0.66,Uptrend,$0.05,$3.30
GT,$6.47,33.31%,75.23%,0.39,Downtrend,$3.01,$24.75
AR,$1.69,27.36%,143.43%,0.71,Uptrend,$1.28,$85.71
TRAC,$0.29,12.53%,368.23%,1.01,Downtrend,$0.05,$2.37
MX,$1.79,12.33%,53.33%,0.32,Downtrend,$0.79,$5.75
BCH,$471.51,7.34%,114.39%,0.56,Uptrend,$77.41,$3715.91
NEAR,$1.18,4.96%,124.36%,0.62,Uptrend,$0.53,$20.09
DAI,$1.00,3.16%,6.19%,0.12,Downtrend,$0.93,$1.04
USDT,$1.00,0.07%,9.26%,0.05,Downtrend,$0.90,$1.12
TUSD,$1.00,-0.11%,5.21%,0.02,Downtrend,$0.96,$1.04
USDC,$1.00,-0.96%,4.51%,-0.01,Downtrend,$0.96,$1.06
USDD,$0.98,-1.50%,7.32%,-0.02,Uptrend,$0.95,$1.02
UNI,$3.38,-2.81%,124.73%,0.57,Downtrend,$1.95,$43.11
SHIB,$0.00,-3.70%,118.27%,0.53,Uptrend,$0.00,$0.00
CRO,$0.07,-15.91%,104.58%,0.47,Downtrend,$0.03,$0.90
CFX,$0.06,-26.55%,147.90%,0.58,Uptrend,$0.02,$0.51
TWT,$0.45,-28.53%,83.64%,0.30,Uptrend,$0.45,$2.68
THETA,$0.15,-29.04%,123.68%,0.57,Downtrend,$0.04,$13.91
TFUEL,$0.01,-34.55%,131.19%,0.54,Downtrend,$0.00,$0.59
LPT,$2.10,-39.28%,170.69%,0.68,Downtrend,$0.50,$74.66
ENS,$5.68,-39.38%,106.22%,0.39,Uptrend,$5.48,$42.82
SYRUP,$13.64,-41.54%,131.75%,0.51,Uptrend,$2.76,$31.26
BAT,$0.09,-43.28%,119.90%,0.53,Downtrend,$0.07,$1.77
GLM,$0.13,-44.23%,104.64%,0.34,Uptrend,$0.12,$0.73
VET,$0.01,-48.88%,107.41%,0.45,Downtrend,$0.00,$0.26
RAY,$0.57,-55.00%,136.52%,0.48,Uptrend,$0.14,$7.66
DOT,$1.28,-56.56%,105.47%,0.37,Downtrend,$1.24,$53.89
ADA,$0.25,-58.35%,103.75%,0.40,Downtrend,$0.02,$3.01
ATOM,$1.68,-62.18%,103.78%,0.38,Downtrend,$1.64,$43.64
TEL,$0.00,-66.98%,153.83%,0.65,Downtrend,$0.00,$0.06
ZEN,$5.13,-69.45%,335.32%,0.51,Uptrend,$1.00,$151.76
ROSE,$0.01,-70.83%,124.38%,0.43,Downtrend,$0.01,$0.57
RSR,$0.00,-73.22%,138.25%,0.36,Uptrend,$0.00,$0.02
GNO,$118.32,-78.44%,77.08%,-0.10,Downtrend,$79.69,$548.91
EGLD,$3.83,-78.46%,112.39%,0.32,Downtrend,$3.83,$490.94
AMP,$0.00,-79.92%,129.31%,0.35,Downtrend,$0.00,$0.11
BSV,$13.65,-80.50%,126.34%,0.37,Downtrend,$12.48,$440.85
NEO,$2.58,-81.72%,113.45%,0.38,Uptrend,$2.43,$188.61
XTZ,$0.35,-82.51%,107.99%,0.32,Uptrend,$0.35,$8.36
RVN,$0.01,-83.06%,136.03%,0.48,Downtrend,$0.01,$0.23
LDO,$0.30,-85.80%,124.34%,0.19,Downtrend,$0.28,$3.81
WEMIX,$0.24,-86.79%,160.32%,0.49,Downtrend,$0.18,$4.57
FTT,$0.29,-87.14%,129.95%,0.40,Downtrend,$0.27,$77.21
NFT,$0.00,-89.58%,57.98%,-0.67,Downtrend,$0.00,$0.00
ZRX,$0.10,-89.64%,105.97%,-0.04,Downtrend,$0.10,$1.36
IOTA,$0.05,-90.63%,119.90%,0.36,Downtrend,$0.05,$5.32
GRT,$0.02,-90.93%,131.48%,0.27,Downtrend,$0.02,$2.35
COMP,$18.33,-91.33%,111.91%,0.16,Uptrend,$15.91,$861.92
BTT,$0.00,-91.55%,86.47%,-0.31,Downtrend,$0.00,$0.00
